Dataset,NN,GRAIL exact classification precision,GRAIL exact precision,GRAIL exact time,PQ classification precision,PQ precision,PQ time,OPQ (64) classification precision,OPQ (64) precision,OPQ (64) time,OPQ (128) classification precision,OPQ (128) precision,OPQ (128) time,TRAIN_size,TEST_size
TwoPatterns,3,0.9985,0.722833333,46.33489847,0.97975,0.498916667,3.203558922,0.9935,0.403083333,3.778539181,0.998,0.53975,4.719958782,1000,4000
TwoPatterns,5,0.9985,0.74925,46.75649953,0.97675,0.55515,3.254490376,0.9885,0.49225,15.99891663,0.99725,0.60795,12.93979502,1000,4000
TwoPatterns,10,0.99475,0.780675,47.29359174,0.961,0.6226,3.326295853,0.9855,0.624025,3.468310356,0.99375,0.697975,15.99810457,1000,4000
UMD,1,0.902777778,0.930555556,0.062058449,0.833333333,0.590277778,0.040728569,0.902777778,0.791666667,0.043159246,0.902777778,0.881944444,0.074361086,36,144
UMD,3,0.715277778,0.946759259,0.064257145,0.756944444,0.553240741,0.043094397,0.701388889,0.75,0.079906702,0.6875,0.828703704,0.347390413,36,144
UMD,5,0.625,0.955555556,0.065643072,0.6875,0.540277778,0.043928146,0.6875,0.808333333,0.046559095,0.659722222,0.848611111,0.575412273,36,144
UMD,10,0.534722222,0.972222222,0.066702366,0.555555556,0.739583333,0.045540094,0.541666667,0.849305556,0.077818632,0.5625,0.900694444,0.575385809,36,144
UWaveGestureLibraryAll,1,0.941094361,0.467895031,37.10651875,0.873813512,0.214684534,2.520261526,0.906197655,0.193467337,4.42082262,0.930206588,0.275265215,5.126951218,896,3582
UWaveGestureLibraryAll,3,0.945281965,0.54392332,37.42023468,0.873813512,0.330355481,2.671821117,0.906476829,0.327284571,9.664803743,0.932719151,0.425646752,14.32616115,896,3582
UWaveGestureLibraryAll,5,0.944723618,0.576437744,37.38334394,0.870184255,0.39173646,2.704953671,0.90731435,0.401340034,3.009226561,0.932998325,0.499944165,4.282862186,896,3582
UWaveGestureLibraryAll,10,0.935510888,0.611418202,37.57640648,0.857621441,0.465829146,2.805267334,0.909826912,0.51133445,11.66750669,0.930764936,0.578419877,11.31444907,896,3582
UWaveGestureLibraryX,1,0.733109994,0.570630932,37.13056517,0.667504188,0.243160246,2.512759209,0.685371301,0.218313791,8.468165398,0.716359576,0.353992183,3.880404234,896,3582
